Content Manifest for Depot 2347770

Manifest ID / date     : 5002689339188222421 / 12/19/2024 22:39:40
Total number of files  : 2656
Total number of chunks : 49229
Total bytes on disk    : 47577462591
Total bytes compressed : 39022505328

          Size Chunks File SHA                                 Flags Name
         98244      1 4591D390C34F173E79F71BF9EB682276B6D8BF28     0 game/core/tools/fonts/barlow-medium.ttf
         98812      1 7426E387AEA19B486A47F15869A3A8328FAC0058     0 game/core/tools/fonts/barlow-regular.ttf
        103016      1 3CE5F54B109563E173C1EB1DCCD3C6962C912B6A     0 game/core/tools/fonts/barlow-semibold.ttf
         69944      1 EA491D42FAAE0061C4F04EA514874643ED128F05     0 game/core/tools/fonts/courierprime-bold.ttf
         77544      1 774537C23F1E4B86998B7DCEB4477B169B7E178C     0 game/core/tools/fonts/courierprime-bolditalic.ttf
         53716      1 E6A9877A9EBA575A2E4145FA2035D6190A873B15     0 game/core/tools/fonts/dinish-italic.ttf
           426      1 5710B9FB66916226A59B276CEA8359BBCB9C559B     0 game/core/tools/fonts/tools_font_manifest.txt
          5430      1 7A1A9E4E0431DD576EBA5D2D8667F9B3A7AA3761     0 game/core/tools/images/animation/clip_editor_appicon.ico
         24589      1 255539E1B848152A99563C0534147C0565682D38     0 game/core/tools/images/animation/graph_editor_appicon.ico
          5838      1 B8D0F4F768670E076C8B5D803B943A323F247898     0 game/core/tools/images/animation/skel_editor_appicon.ico
         98258      1 BEED91DFACCBEDC64AB15E8478EA16B4E2C26826     0 game/core/tools/images/animikrig_editor/appicon.ico
        126732      1 2318E2F77D51A7BD3DD0B91B251FD8FF69197FD2     0 game/core/tools/images/appicon_tools.ico
           670      1 F751D17660157051DA16E9D316168CAA55BE3CD5     0 game/core/tools/images/assetbrowser/allassets.png
           481      1 2F5949863CCFBE0646C60779C7BB2CE945CF3D23     0 game/core/tools/images/assetbrowser/allassets_sm.png
         49446      1 D6B8F1CCFCB171E7A2ABB72F69D79158A4EE66AF     0 game/core/tools/images/assetbrowser/appicon.ico
          2165      1 07A975CD987B8B902389B8A5CA1761D1F6DF796A     0 game/core/tools/images/assetbrowser/appicon_no_dependency_info.png
           861      1 FEAF3F6651577405A9CF9C9BCECC38859866C0C2     0 game/core/tools/images/assetbrowser/appicon_no_dependency_info_sm.png
           241      1 B73680AC9EE008B0B6D00CF9FE577547CE8E4A39     0 game/core/tools/images/assetbrowser/asset_badges/asset_from_read_only_searchpath.png
           266      1 B849D6256B53EB8713CAC05F70B98E7821A675D1     0 game/core/tools/images/assetbrowser/asset_badges/asset_involves_override.png
           192      1 497A4BE9B1554D5D85E33B4F1A7CCA95EFED3EE2     0 game/core/tools/images/assetbrowser/asset_badges/asset_is_trivial_child.png
           206      1 F471BB1112B075F64387312847E1967FE551880F     0 game/core/tools/images/assetbrowser/asset_badges/asset_not_in_leaf_mod.png
           271      1 CC797D2E26810312CFB691CF18D95A880586F283     0 game/core/tools/images/assetbrowser/asset_badges/asset_with_no_content.png
           257      1 1BB251D4DF1DBF667DA2BBDC3D76979BC1DA8CD9     0 game/core/tools/images/assetbrowser/asset_badges/vmat_alphatest.png
